dataset,feature_set,model,numeric_features,categorical_features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,train_rows,validation_rows,train_validation_rows,test_rows
aus_us_overlap,temperature only,RandomForest,28,3,0.4439198284888686,0.5799314969971107,0.7064552282923864,0.4940136491373437,0.6584496679075527,0.7207753024353951,1293,300,1593,353
aus_us_overlap,temperature only,ExtraTrees,28,3,0.4208490867661169,0.5395111500203763,0.7459484753198573,0.4857251728457103,0.6220970104747714,0.7507558969857843,1293,300,1593,353
aus_us_overlap,temperature only,HistGradientBoosting,28,3,0.42497705086320225,0.5569216105838432,0.7292870089971306,0.4383871155279352,0.5992011954570714,0.7687647681047608,1293,300,1593,353
aus_us_overlap,temperature only,ANN_MLP,28,3,0.5254996315118602,0.7516492897941258,0.5068813145603352,0.5012409281297162,0.6622358602948035,0.7175548954487039,1293,300,1593,353
aus_us_overlap,radiation only,Ridge,6,3,0.4557818886832874,0.6831795544556911,0.5926284665413268,0.5894527672360913,0.856878286830198,0.5271243630215525,1293,300,1593,353
aus_us_overlap,radiation only,ElasticNet,6,3,0.4531534488713985,0.6859210358449411,0.5893524837172731,0.5907364211587398,0.8586982862350703,0.5251134651409364,1293,300,1593,353
aus_us_overlap,radiation only,RandomForest,6,3,0.35201199101352143,0.45511036527366966,0.8192183233134795,0.5210774321098491,0.6991827671466764,0.6851598616461515,1293,300,1593,353
aus_us_overlap,radiation only,ExtraTrees,6,3,0.3297558354008575,0.42713009355080434,0.8407639859025309,0.5067230320061553,0.6697336346484095,0.7111230543260404,1293,300,1593,353
aus_us_overlap,radiation only,HistGradientBoosting,6,3,0.3752807247079997,0.48152819927014606,0.7976214839309331,0.5490767694588481,0.7206024688965452,0.6655739072746536,1293,300,1593,353
aus_us_overlap,radiation only,ANN_MLP,6,3,0.3707368089678303,0.4771791535904696,0.8012606425365417,0.48936073551764697,0.6453392834720879,0.7317838845535471,1293,300,1593,353
aus_us_overlap,extreme events only,Ridge,37,3,0.4980224396401807,0.724610697291927,0.5417204914390947,0.5883590944397569,0.8447302052101263,0.5404373653741236,1293,300,1593,353
aus_us_overlap,extreme events only,ElasticNet,37,3,0.49153158190695356,0.7217088649796821,0.5453836652786166,0.5860812459981295,0.8455562767509589,0.539538102545713,1293,300,1593,353
aus_us_overlap,extreme events only,RandomForest,37,3,0.4157028886390771,0.5267651759676855,0.7578106346562405,0.49503075947919634,0.6457538511393708,0.7314391683779466,1293,300,1593,353
aus_us_overlap,extreme events only,ExtraTrees,37,3,0.39733978514051843,0.5106557814037129,0.772397272223966,0.49283768827558916,0.6436829280193024,0.7331589475839904,1293,300,1593,353
aus_us_overlap,extreme events only,HistGradientBoosting,37,3,0.4073391971582559,0.5215354679400674,0.7625956601065595,0.4343125256972014,0.5758234644896999,0.7864559969700872,1293,300,1593,353
aus_us_overlap,extreme events only,ANN_MLP,37,3,0.5673179765670621,0.7789614557407767,0.4703940036912597,0.5589902238512671,0.7579092485887569,0.6300499616570613,1293,300,1593,353
aus_us_overlap,weather all,Ridge,76,3,0.5173810276249136,0.7433971717805603,0.5176494640495812,0.5676210513779281,0.823207681288233,0.5635570409760412,1293,300,1593,353
aus_us_overlap,weather all,ElasticNet,76,3,0.4959323251807791,0.7218045281152007,0.5452631377128125,0.5656955484481545,0.8245733383053924,0.562107769315782,1293,300,1593,353
aus_us_overlap,weather all,RandomForest,76,3,0.4182705123595027,0.5476782130793206,0.7381986473903763,0.5309963737322321,0.73148042587195,0.6554009455708057,1293,300,1593,353
aus_us_overlap,weather all,ExtraTrees,76,3,0.3948760729788274,0.5052923672981547,0.777153184436015,0.5008490018113515,0.6612105304899646,0.7184288293749549,1293,300,1593,353
aus_us_overlap,weather all,HistGradientBoosting,76,3,0.3906278638701991,0.5095006629488826,0.773425795811996,0.47090346273141986,0.6795733307424107,0.7025723653287564,1293,300,1593,353
aus_us_overlap,weather all,ANN_MLP,76,3,0.5274363743885363,0.6864072033243572,0.5887701594869753,0.5706766758638353,0.7894459980274163,0.5986220428326408,1293,300,1593,353
aus_us_overlap,weather + soil,Ridge,192,3,0.5205138362025704,0.7468224807682052,0.5131942251487469,0.5674179276844532,0.8223893285862643,0.5644243476204323,1293,300,1593,353
aus_us_overlap,weather + soil,ElasticNet,192,3,0.5030383025301749,0.7265953582567576,0.5392066587682496,0.5659752633198667,0.8206024494638859,0.5663151199065772,1293,300,1593,353
aus_us_overlap,weather + soil,RandomForest,192,3,0.41705423285532683,0.5419352275710364,0.7436603887275377,0.5241317213553514,0.7114799949682158,0.6739876517980524,1293,300,1593,353
aus_us_overlap,weather + soil,ExtraTrees,192,3,0.41403270610385545,0.5400211467780677,0.7454679414417191,0.5004768909118348,0.6621534316208924,0.7176252031076051,1293,300,1593,353
aus_us_overlap,weather + soil,HistGradientBoosting,192,3,0.3999010865450474,0.5296356663408326,0.7551639281199539,0.4517652266154443,0.6482171700821607,0.7293863342451858,1293,300,1593,353
aus_us_overlap,weather + soil,ANN_MLP,192,3,0.5238688461197043,0.7069108177109062,0.5638356036713406,0.4627977944338079,0.6097562675785421,0.76054648895233,1293,300,1593,353
