dataset,country,region,crop,season,year_start,yield_t_ha,split,predicted_yield_t_ha,prediction_error_t_ha,heat_days_35,max_consecutive_heat_days_35,heatwave_events_3d_35,max_dry_spell_1mm,dry_spell_events_14d,hot_dry_days_30_1mm,heavy_rain_days_20,heavy_rain_days_50,max_3day_rain,max_7day_rain,rainfall_concentration_index,rain_last_14d_before_harvest,heavy_rain_days_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0
aus_us_wheat,Australia,Western Australia,Wheat,2019-20,2019,1.4136458676379102,test,1.8408886960180992,-0.427242828380189,1,1,0,20,6,13,1,0,43.1,44.6,0.076374097619667,8.2,0,0,0
aus_us_wheat,Australia,Victoria,Wheat,2017-18,2017,2.54499641621158,test,1.8670959612404279,0.6779004549711523,0,0,0,34,3,3,1,0,35.4,37.0,0.0613398577670888,10.5,0,0,22
aus_us_wheat,Australia,Queensland,Wheat,2018-19,2018,0.9999475812312216,test,1.9433624325661585,-0.9434148513349369,0,0,0,57,4,7,4,0,49.7,75.4,0.0927218358046997,74.0,3,1,31
aus_us_wheat,Australia,South Australia,Wheat,2019-20,2019,1.5625584345326953,test,1.9740319290355584,-0.4114734945028631,4,2,0,13,0,9,2,0,38.9,40.8,0.0582267417228789,1.5,0,0,7
aus_us_wheat,Australia,Western Australia,Wheat,2016-17,2016,2.0618527102848487,test,1.9945839474592535,0.06726876282559524,1,1,0,22,1,3,0,0,36.0,36.2,0.038177811415238,0.7,0,0,4
aus_us_wheat,Australia,Western Australia,Wheat,2017-18,2017,1.897796514990236,test,2.004854306559152,-0.10705779156891615,0,0,0,22,4,4,2,0,33.4,49.4,0.0515584125783501,3.3,0,0,0
aus_us_wheat,Australia,South Australia,Wheat,2017-18,2017,2.0507811985970315,test,2.0267080135427062,0.024073185054325208,0,0,0,27,3,6,0,0,29.700000000000003,38.9,0.0288932034505005,15.099999999999998,0,0,2
aus_us_wheat,Australia,South Australia,Wheat,2021-22,2021,2.3655187284867414,test,2.061433916751506,0.3040848117352355,0,0,0,13,0,1,0,0,23.9,32.900000000000006,0.0313342378928758,11.2,0,0,0
aus_us_wheat,Australia,Queensland,Wheat,2017-18,2017,1.1974752381533476,test,2.0650181760581647,-0.8675429379048172,4,2,0,78,3,20,1,0,24.700000000000003,47.1,0.0677150848765432,18.9,0,0,24
aus_us_wheat,Australia,Queensland,Wheat,2020-21,2020,1.6500768010996427,test,2.164863734611154,-0.5147869335115114,0,0,0,34,4,10,1,0,29.200000000000003,41.9,0.0555396968585284,59.60000000000001,0,0,10
aus_us_wheat,Australia,Western Australia,Wheat,2018-19,2018,2.28399249290488,test,2.1837858997095942,0.1002065931952858,0,0,0,24,2,6,3,0,49.3,52.1,0.0551660192274227,3.3000000000000003,0,0,0
aus_us_wheat,United States,Oklahoma,Wheat,2019,2019,2.6900000000000004,test,2.1888456305493005,0.5011543694506999,15,6,2,20,1,66,13,0,86.14,149.25,0.0268197115105123,91.58,2,1,3
aus_us_wheat,Australia,Queensland,Wheat,2021-22,2021,2.362743023845494,test,2.3048618403392696,0.05788118350622451,0,0,0,20,3,10,2,0,39.1,46.8,0.0431288262250493,45.3,1,1,14
