dataset,feature_set,model,feature,importance_rmse_increase_mean,importance_rmse_increase_std
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_35,0.0015554878226035351,0.0064338564022063
aus_overlap,extreme_weather_soil,ANN_MLP,rain_last_21d_before_harvest,0.0014009164708026073,0.0033727144482443875
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_60_100,0.0013026595990670714,0.004997517473107401
aus_overlap,extreme_weather_soil,ANN_MLP,max_dry_spell_1mm_early,0.00109334815728504,0.003583288817830615
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_20,0.0010487976586401188,0.009073087022906398
aus_overlap,extreme_weather_soil,ANN_MLP,rain_sum_early_y,0.0009168957933817917,0.003843378302880419
aus_overlap,extreme_weather_soil,ANN_MLP,frost_days_0_mid_y,0.0008191824996814506,0.005328394563937374
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SAND_15_30,0.0005926532998345446,0.006721874288754964
aus_overlap,extreme_weather_soil,ANN_MLP,max_consecutive_heat_days_35_mid,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_35_early_y,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_35_mid_y,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,season_days_observed,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_40,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,country,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,heatwave_events_3d_35,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,max_consecutive_heat_days_35_early,0.0,0.0
aus_overlap,extreme_weather_soil,ANN_MLP,dry_days_1mm_early,-4.104483046209195e-05,0.008634781676618221
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SOC_0_5,-0.00034323477065968666,0.00433360861898718
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_5_15,-0.0007013750520689505,0.004793730996007905
aus_overlap,extreme_weather_soil,ANN_MLP,max_consecutive_heat_days_35_late,-0.001259669255552473,0.003833127791250501
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_35_late_y,-0.002115218044145814,0.0053723503079881165
aus_overlap,extreme_weather_soil,ANN_MLP,wet_days_last_14d_before_harvest,-0.0021895955640634235,0.004027026723309371
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_30_60,-0.002268963347896502,0.00510786287777719
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_0_5,-0.002619907911014116,0.0071630964185005605
aus_overlap,extreme_weather_soil,ANN_MLP,heat_degree_days_35,-0.0027190187961262102,0.004594119568182999
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_5_15,-0.0030118982583400983,0.0030869885548292144
aus_overlap,extreme_weather_soil,ANN_MLP,max_dry_spell_1mm_mid,-0.003070860912263884,0.00801683130124845
aus_overlap,extreme_weather_soil,ANN_MLP,soil_ECEC_30_60,-0.0035892610564143557,0.008820229178041808
aus_overlap,extreme_weather_soil,ANN_MLP,season_tmean_mean,-0.0037749013691372596,0.005735737477476561
aus_overlap,extreme_weather_soil,ANN_MLP,max_consecutive_heat_days_35,-0.005028366255394837,0.005038698451745915
aus_overlap,extreme_weather_soil,ANN_MLP,season_tmax_mean,-0.005346154393276389,0.007158024272673358
aus_overlap,extreme_weather_soil,ANN_MLP,frost_days_0_early_y,-0.005691929251062877,0.004718105230824919
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_60_100,-0.006159982384604773,0.007730746932390798
aus_overlap,extreme_weather_soil,ANN_MLP,soil_ECEC_0_5,-0.006251495366188728,0.003442940580065341
aus_overlap,extreme_weather_soil,ANN_MLP,dry_days_1mm,-0.006417726357719894,0.00803692559235811
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_5_15,-0.0067713216269268545,0.006707121811590095
aus_overlap,extreme_weather_soil,ANN_MLP,hot_dry_days_30_1mm,-0.006870046895148654,0.005121634381485178
aus_overlap,extreme_weather_soil,ANN_MLP,min_tmin,-0.007373705937868666,0.005906682478583975
aus_overlap,extreme_weather_soil,ANN_MLP,heatwave_events_3d_30,-0.007497214060715018,0.008660898649311754
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_20_late,-0.007527822087261424,0.0071682972978460045
aus_overlap,extreme_weather_soil,ANN_MLP,max_3day_rain_early,-0.008091633697104389,0.006115916467147545
aus_overlap,extreme_weather_soil,ANN_MLP,max_1day_rain,-0.00944102076235484,0.0021557994770557386
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_5_15,-0.009849748692943805,0.006066640814196693
aus_overlap,extreme_weather_soil,ANN_MLP,radiation_sum_early_y,-0.010023949075617128,0.004604079238545473
aus_overlap,extreme_weather_soil,ANN_MLP,storm_before_harvest_flag,-0.010067088143733666,0.003488913002172049
aus_overlap,extreme_weather_soil,ANN_MLP,radiation_sum_late_y,-0.010160104208259232,0.0042672730094030775
aus_overlap,extreme_weather_soil,ANN_MLP,season_rain_mean,-0.01191033990126071,0.0057772450445323885
aus_overlap,extreme_weather_soil,ANN_MLP,frost_days_0,-0.012622173399253131,0.006293733741151809
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_0_5,-0.014544698994769623,0.007903528499713054
aus_overlap,extreme_weather_soil,ANN_MLP,max_3day_rain_late,-0.015691877849498506,0.006992549347195884
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_100_200,-0.017418928616443632,0.003671421418123461
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_100_200,-0.019829749405008493,0.005644168170691877
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_15_30,-0.022533838863405792,0.007858174191151484
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SILT_30_60,-0.02552433900420807,0.006503642842854555
aus_overlap,extreme_weather_soil,ANN_MLP,dry_days_1mm_mid,-0.027542003011510677,0.009219587785632428
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SOC_100_200,-0.02845205185287672,0.01088112667855485
aus_overlap,extreme_weather_soil,ANN_MLP,dry_spell_events_14d,-0.03173667642707041,0.00866185827341076
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SOC_30_60,-0.035862549062452925,0.007812683822697031
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_15_30,-0.037234451743782745,0.010584162632623696
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_0_5,-0.0522282338980518,0.007951999926419167
