country,region,year_start,weather_regime,best_crop,best_predicted_yield_t_ha,season_rain_sum,season_rain_mean,heat_days_35,hot_dry_days_30_1mm,max_dry_spell_1mm,max_3day_rain,rain_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0,runner_up_crop,runner_up_predicted_yield_t_ha,best_crop_yield_advantage_t_ha
Australia,Queensland,2011,Wet/storm risk,Barley,2.2553890308986126,268.0,1.4565217391304348,0,3,31,60.6,21.0,1,23,Wheat,2.0994956881817406,0.15589334271687205
Australia,Queensland,2012,Hot-dry stress,Barley,1.8671747888616377,182.3,0.9907608695652176,2,14,35,43.5,1.0,1,26,Wheat,1.7400904299412543,0.1270843589203834
Australia,Queensland,2013,Hot-dry stress,Barley,1.4941227952818972,176.3,0.9581521739130436,2,23,29,42.5,20.8,0,13,Wheat,1.3945413712786685,0.09958142400322867
Australia,Queensland,2014,Hot-dry stress,Wheat,1.351432609452864,85.69999999999999,0.4657608695652173,4,16,29,19.3,0.9,0,24,Barley,1.3394607989723668,0.011971810480497114
Australia,Queensland,2015,Wet/storm risk,Barley,2.4528073611593424,268.1,1.457065217391304,0,11,28,122.3,33.0,1,25,Wheat,2.0455986682622487,0.4072086928970937
Australia,Queensland,2016,Moderate season,Barley,2.757556320124172,276.7,1.503804347826087,0,6,15,39.2,12.8,0,14,Wheat,2.639112642583563,0.11844367754060903
Australia,Queensland,2017,Hot-dry stress,Wheat,1.578250539476406,144.0,0.782608695652174,4,20,78,24.700000000000003,18.9,0,24,Barley,1.48757523170656,0.09067530776984589
Australia,Queensland,2018,Dry-spell stress,Barley,2.776999129904912,174.60000000000002,0.948913043478261,0,7,57,49.7,74.0,1,31,Wheat,2.1595658549711114,0.6174332749338007
Australia,Queensland,2019,Hot-dry stress,Wheat,1.81688041545095,42.0,0.2282608695652173,3,22,53,12.7,6.1,0,17,Barley,1.774600018526296,0.04228039692465391
Australia,Queensland,2020,Dry-spell stress,Barley,2.07178772521681,189.4,1.0293478260869566,0,10,34,29.200000000000003,59.60000000000001,0,10,Wheat,1.9805416036122616,0.09124612160454859
Australia,Queensland,2021,Wet/storm risk,Barley,2.6569521946498496,275.1,1.495108695652174,0,10,20,39.1,45.3,1,14,Wheat,2.513458269375544,0.1434939252743055
Australia,South Australia,1989,Moderate season,Barley,1.8733581339662524,318.00000000000006,1.7282608695652175,0,0,10,40.9,13.899999999999997,0,2,Wheat,1.748631371598894,0.12472676236735847
Australia,South Australia,1990,Hot-dry stress,Barley,1.6928565036532577,292.4,1.5891304347826083,1,7,16,51.7,15.1,0,0,Wheat,1.4590536244610846,0.23380287919217313
Australia,South Australia,1991,Moderate season,Barley,1.843390985260906,256.1,1.3918478260869562,0,4,30,33.9,1.1,0,0,Wheat,1.5727341385874751,0.27065684667343093
Australia,South Australia,1992,Moderate season,Barley,2.0921821402993004,440.4,2.393478260869565,0,1,9,37.5,12.900000000000002,0,1,Wheat,1.7686743941004872,0.3235077461988132
Australia,South Australia,1993,Wet/storm risk,Barley,1.9111413716993535,288.30000000000007,1.566847826086957,0,0,14,44.7,40.7,1,0,Wheat,1.7056929959129397,0.20544837578641384
Australia,South Australia,1994,Wet/storm risk,Barley,1.359509884940115,213.5,1.1603260869565215,0,4,24,55.6,0.2,0,0,Wheat,1.1550494377096694,0.20446044723044565
Australia,South Australia,1995,Wet/storm risk,Barley,1.9476584303068751,321.7,1.7483695652173912,0,3,13,39.8,27.700000000000003,1,1,Wheat,1.8159413347075344,0.13171709559934075
Australia,South Australia,1996,Moderate season,Barley,1.980780778116641,373.4,2.029347826086956,0,2,31,34.1,4.8,0,0,Wheat,1.7400082784165072,0.24077249970013392
Australia,South Australia,1997,Wet/storm risk,Wheat,1.8895280294352523,302.8,1.6456521739130436,0,4,30,74.1,74.1,1,4,Barley,1.707507417961561,0.1820206114736913
Australia,South Australia,1998,Moderate season,Barley,2.0882864691714413,246.90000000000003,1.3418478260869566,1,5,19,32.5,8.799999999999999,0,0,Wheat,1.7990533682661698,0.28923310090527155
Australia,South Australia,1999,Moderate season,Barley,1.7942534691033951,265.6,1.443478260869565,0,5,17,29.6,5.4,0,3,Wheat,1.6426626837275622,0.15159078537583293
Australia,South Australia,2000,Wet/storm risk,Barley,2.215601798446564,293.70000000000005,1.5961956521739131,0,1,16,34.5,35.2,1,0,Wheat,1.963427753832573,0.25217404461399084
Australia,South Australia,2001,Moderate season,Barley,2.460017688277219,386.9,2.102717391304348,0,0,15,42.0,23.4,0,0,Wheat,2.330069220134628,0.1299484681425911
Australia,South Australia,2002,Moderate season,Barley,1.3251082579914035,201.4,1.0945652173913043,0,3,14,31.0,4.0,0,5,Wheat,1.1952125967264906,0.12989566126491292
Australia,South Australia,2003,Moderate season,Barley,1.9865295885537744,350.3,1.903804347826087,0,1,11,42.4,18.8,0,0,Wheat,1.9645789007599443,0.021950687793830026
Australia,South Australia,2004,Moderate season,Barley,1.6825771463318135,286.6,1.557608695652174,1,4,21,25.3,3.9,0,0,Wheat,1.6011218379759753,0.08145530835583825
Australia,South Australia,2005,Wet/storm risk,Barley,2.2810309505909254,359.3,1.952717391304348,0,1,26,44.5,69.39999999999999,1,0,Wheat,2.0354358592136235,0.24559509137730196
Australia,South Australia,2006,Hot-dry stress,Barley,0.8949790564994324,137.2,0.7456521739130434,2,9,37,30.8,0.0,0,6,Wheat,0.6492644481245753,0.24571460837485715
Australia,South Australia,2007,Hot-dry stress,Barley,1.4970959780450106,175.1,0.9516304347826088,2,8,14,16.7,15.6,0,3,Wheat,1.25355040939299,0.2435455686520207
Australia,South Australia,2008,Hot-dry stress,Barley,1.5005101162093886,217.7,1.1831521739130435,1,7,27,25.8,0.7,0,3,Wheat,1.1740520606382177,0.3264580555711709
Australia,South Australia,2009,Moderate season,Barley,2.0739222988361004,277.29999999999995,1.5070652173913042,0,7,15,25.5,0.5,0,1,Wheat,1.9399730799206532,0.1339492189154472
Australia,South Australia,2010,Wet/storm risk,Barley,2.642562362481088,345.0,1.875,0,0,26,65.8,19.7,0,0,Wheat,2.474172697532361,0.1683896649487271
Australia,South Australia,2011,Moderate season,Barley,1.9300933801695628,233.3,1.2679347826086955,0,4,22,33.0,9.1,0,1,Wheat,1.8702671141640412,0.059826266005521544
Australia,South Australia,2012,Moderate season,Barley,1.8372853695073608,236.2,1.283695652173913,0,6,17,37.8,1.9,0,3,Wheat,1.7891222497023789,0.04816311980498189
Australia,South Australia,2013,Moderate season,Wheat,1.898513833732927,303.3,1.6483695652173913,1,5,11,32.4,2.5000000000000004,0,0,Barley,1.869222531145871,0.029291302587056034
Australia,South Australia,2014,Hot-dry stress,Barley,2.254199566263108,222.1,1.2070652173913043,3,12,32,36.8,5.6,0,4,Wheat,2.018154547592073,0.23604501867103478
Australia,South Australia,2015,Hot-dry stress,Barley,2.0985600880476967,212.6,1.1554347826086957,3,12,33,36.7,5.7,0,2,Wheat,1.99569652540218,0.10286356264551677
Australia,South Australia,2016,Moderate season,Barley,2.3945193798725697,427.4,2.3228260869565216,0,0,10,45.5,16.599999999999998,0,0,Wheat,2.247582054856404,0.14693732501616585
Australia,South Australia,2017,Moderate season,Barley,2.0376137111728587,243.3,1.3222826086956525,0,6,27,29.700000000000003,15.099999999999998,0,2,Wheat,1.913718572910989,0.12389513826186982
Australia,South Australia,2018,Hot-dry stress,Barley,1.5013189530795337,181.2,0.9847826086956522,1,7,14,23.9,0.0,0,7,Wheat,1.4499804647308911,0.05133848834864252
Australia,South Australia,2019,Hot-dry stress,Barley,1.8784203060919733,208.4,1.132608695652174,4,9,13,38.9,1.5,0,7,Wheat,1.7520015638054915,0.12641874228648176
Australia,South Australia,2020,Moderate season,Wheat,1.9742529160486264,224.79999999999995,1.2217391304347824,0,3,27,34.2,9.5,0,7,Barley,1.9153841310087945,0.05886878503983195
Australia,South Australia,2021,Moderate season,Barley,2.0664721076813244,252.3,1.371195652173913,0,1,13,23.9,11.2,0,0,Wheat,2.019038503300928,0.04743360438039623
Australia,Tasmania,1989,Wet/storm risk,Wheat,3.3210017591869594,410.2000000000001,2.229347826086957,0,0,19,34.5,31.800000000000004,0,28,Barley,2.4756951560989666,0.8453066030879928
Australia,Tasmania,1990,Wet/storm risk,Wheat,3.485840086611626,403.80000000000007,2.194565217391305,0,0,17,54.900000000000006,37.3,1,27,Barley,2.5109950615574546,0.9748450250541714
Australia,Tasmania,1991,Moderate season,Wheat,3.3220713212148607,393.1,2.136413043478261,0,0,30,44.69999999999999,12.5,0,23,Barley,2.493815924389133,0.8282553968257278
Australia,Tasmania,1992,Wet/storm risk,Wheat,3.9292734701124417,451.3,2.4527173913043474,0,0,21,56.9,12.400000000000002,0,24,Barley,2.820906019958455,1.1083674501539869
Australia,Tasmania,1993,Moderate season,Wheat,3.6184699525202273,346.5,1.8831521739130437,0,0,11,34.4,23.8,0,18,Barley,2.6150016797440614,1.003468272776166
Australia,Tasmania,1994,Cold/frost stress,Wheat,2.719405864677273,292.8,1.591304347826087,0,0,23,35.2,4.6,0,32,Barley,2.0538445113970463,0.6655613532802267
Australia,Tasmania,1995,Cold/frost stress,Wheat,3.746574945463808,344.70000000000005,1.873369565217392,0,0,14,37.60000000000001,20.2,0,33,Barley,2.7803444482757103,0.9662304971880977
Australia,Tasmania,1996,Wet/storm risk,Wheat,3.5445006326681234,332.4,1.806521739130435,0,0,13,43.2,33.1,1,27,Barley,2.613683953505671,0.9308166791624526
Australia,Tasmania,1997,Cold/frost stress,Wheat,3.775989934841665,255.4,1.3880434782608695,0,0,17,39.9,6.6,0,28,Barley,2.606978222558345,1.1690117122833201
Australia,Tasmania,1998,Wet/storm risk,Wheat,4.227644649613838,259.70000000000005,1.411413043478261,0,0,18,58.3,2.3,0,27,Barley,3.107224492794483,1.120420156819355
Australia,Tasmania,1999,Cold/frost stress,Wheat,3.718698927068613,293.6,1.5956521739130436,0,0,15,37.5,8.8,0,27,Barley,2.720733623261182,0.997965303807431
Australia,Tasmania,2000,Wet/storm risk,Wheat,3.8598628212405695,459.7,2.4983695652173914,0,0,15,95.6,69.0,1,25,Barley,2.9371372877040254,0.9227255335365441
Australia,Tasmania,2001,Moderate season,Wheat,4.305936203852649,360.8,1.960869565217391,0,0,16,43.0,26.4,0,18,Barley,3.2683996955379886,1.0375365083146608
